yali1_gene	yali0_local_crosswalk	assigned_role	candidate_or_curated_accession	evidence_scope	sources	reference_reactions	reference_annotation_URIs	evidence_status	established_name	protein_function
YALI1A03322g	YALI0A02915g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/ncbigene/2906354;https://identifiers.org/uniprot/A0A1D8N3H9;https://identifiers.org/kegg.genes/yli:2906354;https://identifiers.org/refseq/XP_499709.1;https://identifiers.org/ec-code/7.1.1.8	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1A08781g	YALI0A09042g	COQ6	F2Z6J4	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT		https://identifiers.org/ncbigene/2906060;https://identifiers.org/uniprot/Q6H9P2;https://identifiers.org/kegg.genes/yli:2906060;https://identifiers.org/refseq/XP_499891.1;https://identifiers.org/ec-code/1.14.15.45;https://identifiers.org/ec-code/1.14.15.46	curated annotation; native locus/activity limits in evidence_scope	COQ6（家族/候选名称；证据范围见 evidence_scope）	candidate flavin-dependent CoQ ring hydroxylase; native electron donor unresolved
YALI1A14736g	YALI0A14806g	Complex III core/MPP-like member	Q6CGY9	Native Yarrowia CIII structural membership via local YALI1-to-YALI0 crosswalk and PDB8ABF entity5; no new sequence alignment or single-KO essentiality validation; 本地跨版本映射支持的原生CIII成员；不等同于原生单基因绝对必需	S06;local_crosswalk	R305	https://identifiers.org/ncbigene/2906239;https://identifiers.org/uniprot/A0A1D8N4U7;https://identifiers.org/kegg.genes/yli:2906239;https://identifiers.org/refseq/XP_500073.3;https://identifiers.org/ec-code/3.4.24.64	本地跨版本映射支持的原生CIII成员；原生单基因绝对必需未证实	未核实基因符号（CIII core/MPP-like成员）	Complex III core/MPP-like member
YALI1A17570g	YALI0A17468g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/ncbigene/2906335;https://identifiers.org/uniprot/A0A1D8N578;https://identifiers.org/kegg.genes/yli:2906335;https://identifiers.org/refseq/XP_500165.3;https://identifiers.org/ec-code/7.1.1.8	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1A21711g	YALI0A20680g	NUPM candidate; exact accession bridge not newly closed	Q6CGB4	Local crosswalk and archived CI structural candidate; PDB6YJ4 directly confirms Q6CGB4 NUPM, not the entire YALI1-to-accession bridge	S07;archived_complex_i_evidence;local_crosswalk	R2062		curated annotation; native locus/activity limits in evidence_scope	NUPM candidate; exact accession bridge not newly closed	NUPM candidate; exact accession bridge not newly closed
YALI1B00908g	YALI0B00792g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/uniprot/Q6CG53;https://identifiers.org/refseq/XP_500359.1;https://identifiers.org/ensembl/CAG82573;https://identifiers.org/kegg.genes/yli:2907560	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1B02487g	YALI0B01540g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R305	https://identifiers.org/ncbigene/2906637;https://identifiers.org/uniprot/A0A1H6Q0G6;https://identifiers.org/kegg.genes/yli:2906637;https://identifiers.org/refseq/XP_500389.1	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1B19507g	YALI0B14861g	not individually resolved in this report		Association extracted; exact protein identity and necessary Boolean membership NOT individually resolved	input_XML;local_crosswalk_if_present	R2062	https://identifiers.org/ncbigene/2907350;https://identifiers.org/uniprot/A0A1D8N7X0;https://identifiers.org/kegg.genes/yli:2907350;https://identifiers.org/refseq/XP_500903.1	model/GPR assignment only	no established gene name	not individually resolved in this report
YALI1B20527g	YALI0B15664g	COQ8		Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT		https://identifiers.org/ncbigene/2906959;https://identifiers.org/uniprot/A0A1D8N7Z5;https://identifiers.org/kegg.genes/yli:2906959;https://identifiers.org/refseq/XP_500941.1	curated annotation; native locus/activity limits in evidence_scope	COQ8（家族/候选名称；证据范围见 evidence_scope）	candidate accessory ATPase/kinase-like protein and CoQ complex stability
YALI1B20835g	YALI0B15884g	COQ3	Q6CEG2	Existing curated candidate/annotation and local crosswalk; pathway role checked where discussed, not new native-locus enzymology or sequence identity certification	archived_gene_evidence;local_crosswalk;see_REPORT	R385;R715	https://identifiers.org/ncbigene/2907025;https://identifiers.org/uniprot/A0A1D8N802;https://identifiers.org/uniprot/Q6CEG2;https://identifiers.org/kegg.genes/yli:2907025;https://identifiers.org/ec-code/2.1.1.64;https://identifiers.org/ec-code/2.1.1.114;https://identifiers.org/refseq/XP_500950.3	curated annotation; native locus/activity limits in evidence_scope	COQ3（家族/候选名称；证据范围见 evidence_scope）	candidate CoQ O-methyltransferase
